Date	Price	Open	High	Low	Vol.	Change %
Nov 06, 2023	360.50	358.00	363.50	357.00	2.27M	+1.55%
Nov 03, 2023	355.00	353.00	355.00	349.50	1.81M	+1.14%
Nov 02, 2023	351.00	346.50	351.50	345.00	2.28M	+2.33%
Nov 01, 2023	343.00	340.00	344.00	337.00	1.51M	+1.48%
Oct 31, 2023	338.00	344.00	345.50	337.50	3.18M	-2.45%
Oct 30, 2023	346.50	347.00	351.00	342.00	2.33M	0.00%
Oct 27, 2023	346.50	343.00	356.00	341.50	4.35M	+2.21%
Oct 26, 2023	339.00	336.00	342.50	334.50	2.72M	-1.02%
Oct 25, 2023	342.50	345.00	348.50	340.50	2.61M	+0.44%
Oct 24, 2023	341.00	335.00	341.00	335.00	2.40M	+2.10%
Oct 23, 2023	334.00	333.50	338.50	331.50	2.90M	-0.89%
Oct 20, 2023	337.00	339.50	342.00	331.00	7.40M	-2.18%
Oct 19, 2023	344.50	348.00	348.00	338.00	4.37M	-1.71%
Oct 18, 2023	350.50	360.50	361.00	346.50	11.25M	-2.77%
Oct 17, 2023	360.50	364.00	365.00	359.00	3.47M	-0.69%
Oct 16, 2023	363.00	363.00	366.50	360.00	2.50M	-0.55%
Oct 13, 2023	365.00	376.00	376.00	362.50	4.74M	-3.31%
Oct 12, 2023	377.50	377.00	385.00	375.00	5.63M	+0.27%
Oct 11, 2023	376.50	386.50	388.00	374.00	4.36M	-0.79%
Oct 06, 2023	379.50	380.50	382.50	376.50	1.74M	-0.13%
Oct 05, 2023	380.00	376.00	384.50	374.00	4.40M	+2.56%
Oct 04, 2023	370.50	364.00	371.50	364.00	3.61M	+1.09%
Oct 03, 2023	366.50	373.00	373.00	366.00	2.92M	-1.61%
Oct 02, 2023	372.50	370.00	374.00	364.50	3.36M	+1.50%
Sep 28, 2023	367.00	366.50	368.50	362.50	2.97M	+0.82%
Sep 27, 2023	364.00	357.50	365.50	357.50	3.75M	+1.68%
Sep 26, 2023	358.00	360.50	361.00	354.00	3.46M	-0.42%
Sep 25, 2023	359.50	357.00	360.50	354.00	2.41M	+0.56%
Sep 22, 2023	357.50	355.00	358.50	351.50	3.26M	+0.70%
Sep 21, 2023	355.00	357.50	360.00	353.50	3.79M	-1.53%
